#Id	Used	Can be broken by	Normal Drop	Ultimallet Drop	Description
47	Used	Giant Mallet	Wooden Floor x1 {1046}	Wooden Floor x1 {1046}	0
48	Used	Giant Mallet	Hardwood Tile x1 {1047}	Hardwood Tile x1 {1047}	0
49	Used	Giant Mallet	Purple Flagstone x1 {1048}	Purple Flagstone x1 {1048}	0
50	Used	Giant Mallet	Blue Flagstone x1 {1049}	Blue Flagstone x1 {1049}	0
51	Used	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	The one without the pattern
52	Used	Giant Mallet	Fancy Carpet x1 {1051}	Fancy Carpet x1 {1051}	0
53	Used	Giant Mallet	Castle Tile x1 {1052}	Castle Tile x1 {1052}	0
54	Used	Giant Mallet	Carved Castle Tile x1 {1053}	Carved Castle Tile x1 {1053}	0
55	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
56	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
57	Used	Ultimallet	Nothing {-1}	Bronze Temple Tile x1 {1056}	0
58	Used	Ultimallet	Nothing {-1}	Blue Temple Tile x1 {1057}	0
59	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
60	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
61	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	Intangible
62	Used	Giant Mallet	Coal x1 {425}	Coal Vein x1 {1061}	0
63	Used	Giant Mallet	Copper x1 {426}	Copper Vein x1 {1162}	0
64	Used	Giant Mallet	Iron x1 {427}	Iron Vein x1 {1063}	0
65	Used	Sledgehammer	Silver x1 {584}	Silver Vein x1 {1064}	0
66	Used	Sledgehammer	Gold x1 {461}	Gold Vein x1 {1065}	0
67	Used	Sledgehammer	Zenithium x1 {577}	Zenithium Vein x1 {1066}	0
68	Used	Sledgehammer	Ruby x1 {578}	Ruby Vein x1 {1067}	0
69	Used	Sledgehammer	Mythril x1 {521}	Mythril Vein x1 {1068}	0
70	Used	Sledgehammer	Orichalcum x1 {507}	Orichalcum Vein x1 {1069}	0
71	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
72	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
73	Used	Giant Mallet	Golemite x1 {1072}	Golemite x1 {1072}	0
74	Used	Giant Mallet	Palm Lumber x1 {1073}	Palm Lumber x1 {1073}	0
75	Used	Giant Mallet	Cedar Lumber x1 {1074}	Cedar Lumber x1 {1074}	0
76	Used	Giant Mallet	Time-Honoured Turf x1 {1075}	Time-Honoured Turf x1 {1075}	0
77	Used	Giant Mallet	8-Bit Brick x1 {1076}	8-Bit Brick x1 {1076}	0
78	Used	Giant Mallet	Olde Worlde Wall x1 {1077}	Olde Worlde Wall x1 {1077}	0
79	Used	Giant Mallet	Eyewall x1 {1078}	Eyewall x1 {1078}	0
80	Unused	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
81	Used	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
82	Used	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
83	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
84	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
85	Used	Cypress Stick	Strange Sand {1084}	Strange Sand {1084}	0
86	Unused	Cypress Stick	Nothing {-1}	Nothing {-1}	0
87	Unused	Cypress Stick	Nothing {-1}	Nothing {-1}	0
88	Used	Giant Mallet	Bonestone x1 {1087}	Bonestone x1 {1087}	0
89	Used	Giant Mallet	Nothing {-1}	Nothing {-1}	0
90	Used	Giant Mallet	Slimy Block x1 {1087}	Slimy Block x1 {1087}	0
91	Used	Giant Mallet	Retro Roof x1 {1107}	Retro Roof x1 {1107}	0
92	Used	Giant Mallet	Black Block x1 {1089}	Black Block x1 {1089}	0
93	Used	Giant Mallet	Grey Block x1 {1090}	Grey Block x1 {1090}	0
94	Used	Giant Mallet	White Block x1 {1091}	White Block x1 {1091}	0
95	Used	Giant Mallet	Burgundy Block x1 {1092}	Burgundy Block x1 {1092}	0
96	Used	Giant Mallet	Red Block x1 {1093}	Red Block x1 {1093}	0
97	Used	Giant Mallet	Purple Block x1 {1094}	Purple Block x1 {1094}	0
98	Used	Giant Mallet	Pink Block x1 {1095}	Pink Block x1 {1095}	0
99	Used	Giant Mallet	Green Block x1 {1096}	Green Block x1 {1096}	0
100	Used	Giant Mallet	Lime-Green Block x1 {1097}	Lime-Green Block x1 {1097}	0
101	Used	Giant Mallet	Orange Block x1 {1098}	Orange Block x1 {1098}	0
102	Used	Giant Mallet	Yellow Block x1 {1099}	Yellow Block x1 {1099}	0
103	Used	Giant Mallet	Navy Block x1 {1100}	Navy Block x1 {1100}	0
104	Used	Giant Mallet	Blue Block x1 {1101}	Blue Block x1 {1101}	0
105	Used	Giant Mallet	Beige Block x1 {1102}	Beige Block x1 {1102}	0
106	Used	Giant Mallet	Cyan Block x1 {1103}	Cyan Block x1 {1103}	0
107	Used	Giant Mallet	Silver Block x1 {1104}	Silver Block x1 {1104}	0
108	Used	Giant Mallet	Gold Block x1 {1105}	Gold Block x1 {1105}	0
109	Used	Sledgehammer	Fortress Wall x1 {1110}	0	0
110	Used	Sledgehammer	Fortress Wall x1 {1110}	0	0
111	Used	Sledgehammer	Fortress Wall x1 {1110}	0	0
112	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
113	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
114	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
115	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
116	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
117	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
118	Unused	Giant Mallet	Earth x1 {1001}	Crumbly Clodstone x1 {1021}	0
119	Used	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
120	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
121	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
122	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
123	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
124	Unused	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
125	Unused	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
126	Unused	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
127	Unused	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
128	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
129	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
130	Used	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
131	Used	Sledgehammer	Dark Dolomite x1 {1749}	Dark Dolomite x1 {1749}	0
132	Used	Giant Mallet	Stony Sand x1 {1751}	Stony Sand x1 {1751}	0
133	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
134	Used	Ultimallet	Nothing {-1}	Masonry Wall x1 {1761}	0
135	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
136	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
137	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
138	Used	Giant Mallet	Bark x1 {1753}	Mossy Bark x1 {1754}	0
139	Used	Giant Mallet	Bark x1 {1753}	Bark x1 {1753}	0
140	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
141	Used	Giant Mallet	Stony Soil {1759}	Stony Soil {1759}	0
142	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
143	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
144	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
145	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
146	Used	Cypress Stick	Seaside Sand x1 {1747}	Seaside Sand x1 {1747}	0
147	Used	Giant Mallet	Arid Earth x1 {1760}	Arid Earth x1 {1760}	0
148	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
149	Used	Sledgehammer	Chert x1 {1770}	Chert x1 {1770}	0
150	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
151	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
152	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
153	Used	Sledgehammer	Chunky Chert x1 {1774}	Chunky Chert x1 {1774}	0
154	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
155	Used	Cypress Stick	Leaves x1 {1123}	Leaves x1 {1123}	0
156	Used	Giant Mallet	Spoiled Soil x1 {1784}	Spoiled Soil x1 {1784}	0
157	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
158	Used	Giant Mallet	Spoiled Soil x1 {1784}	Moss x1 {1786}	0
159	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
160	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
161	Used	Giant Mallet	Humus x1 {1789}	Humus x1 {1789}	0
162	Used	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
163	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
164	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
165	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
166	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
167	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
168	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
169	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
170	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
171	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
172	Used	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
173	Used	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
174	Used	War Hammer	Chert x1 {1770}	Chert x1 {1770}	Is used in the IoA Temple Mountain. The villagers display an empty name when building a blueprint.
175	Used	Cypress Stick	Scallywinkle x1 {1919}	Bubbling Seaside Sand x1 {2037}	0
176	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
177	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
178	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
179	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
180	Used	Indestructible	Nothing {-1}	Nothing {-1}	0
181	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
182	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
183	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
184	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
185	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
186	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
187	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
188	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
189	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
190	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
191	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
192	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
193	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
194	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
195	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
196	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
197	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
198	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
199	Used	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
200	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
201	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
202	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
203	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
204	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
205	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
206	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
207	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
208	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
209	Used	Sledgehammer	Umber x1 {1923}	Umber x1 {1923}	0
210	Unused	Sledgehammer	Nothing {-1}	Nothing {-1}	0
211	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
212	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
213	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
214	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
215	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
216	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
217	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
218	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
219	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
220	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
221	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
222	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
223	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
224	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
225	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
226	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
227	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
228	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
229	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
230	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
231	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
232	Used	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
233	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
234	Used	Giant Mallet	Spoiled Soil x1 {1784}	Swampy Soil x1 {1951}	0
235	Unused	Giant Mallet	Grass Seed x2 {163}	Seeded Spoiled Soil x1 {1953}	0
236	Used	Giant Mallet	Tomato Seed x2 {1831}	Tomato Seed x2 {1831}	0
237	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
238	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
239	Used	Giant Mallet	Sugar Cane Seedling x2 {1825}	Sugar Cane Seedling x2 {1825}	0
240	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
241	Used	Sledgehammer	Lumpy Umber x1 {2031}	Lumpy Umber x1 {2031}	0
242	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
243	Used	Giant Mallet	Softwood x1 {1987}	Softwood x1 {1987}	0
244	Used	Giant Mallet	Floorboard x1 {1988}	Floorboard x1 {1988}	0
245	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
246	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
247	Unused	Cypress Stick	Nothing {-1}	Nothing {-1}	Transparent
248	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
240	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
250	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
251	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
252	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
253	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
254	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
255	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
256	Used	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
257	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
258	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
259	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
260	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
261	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
262	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
263	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
264	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
265	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
266	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
267	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
268	Used	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
269	Used	Giant Mallet	Fancy Carpet {White} x1 {2157}	Fancy Carpet {White} x1 {2157}	0
270	Used	Giant Mallet	Fancy Carpet {Black} x1 {2158}	Fancy Carpet {Black} x1 {2158}	0
271	Used	Giant Mallet	Fancy Carpet {Purple} x1 {2159}	Fancy Carpet {Purple} x1 {2159}	0
272	Used	Giant Mallet	Fancy Carpet {Pink} x1 {2160}	Fancy Carpet {Pink} x1 {2160}	0
273	Used	Giant Mallet	Fancy Carpet {Green} x1 {2162}	Fancy Carpet {Green} x1 {2162}	0
274	Used	Giant Mallet	Fancy Carpet {Yellow} x1 {2163}	Fancy Carpet {Yellow} x1 {2163}	0
275	Used	Giant Mallet	Fancy Carpet {Blue} x1 {2164}	Fancy Carpet {Blue} x1 {2164}	0
276	Used	Giant Mallet	Fancy Carpet {Red} x1 {2161}	Fancy Carpet {Red} x1 {2161}	0
277	Used	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Foundation {White} x1 {2857}	0
278	Used	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Foundation {Black} x1 {2858}	0
279	Used	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Foundation {Purple} x1 {2859}	0
280	Used	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Foundation {Pink} x1 {2860}	0
281	Used	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Foundation {Red} x1 {2861}	0
282	Used	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Foundation {Green} x1 {2862}	0
283	Used	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Foundation {Yellow} x1 {2863}	0
284	Used	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Foundation {Blue} x1 {2864}	0
285	Used	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Wall Midsection {White} x1 {2865}	0
286	Used	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Wall Midsection {Black} x1 {2866}	0
287	Used	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Wall Midsection {Purple} x1 {2867}	0
288	Used	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Wall Midsection {Pink} x1 {2868}	0
289	Used	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Wall Midsection {Red} x1 {2869}	0
290	Used	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Wall Midsection {Green} x1 {2870}	0
291	Used	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Wall Midsection {Yellow} x1 {2871}	0
292	Used	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Wall Midsection {Blue} x1 {2872}	0
293	Used	Giant Mallet	Timbered Wall {White} x1 {2849}	Timbered Capital {White} x1 {2873}	0
294	Used	Giant Mallet	Timbered Wall {Black} x1 {2850}	Timbered Capital {Black} x1 {2874}	0
295	Used	Giant Mallet	Timbered Wall {Purple} x1 {2851}	Timbered Capital {Purple} x1 {2875}	0
296	Used	Giant Mallet	Timbered Wall {Pink} x1 {2852}	Timbered Capital {Pink} x1 {2876}	0
297	Used	Giant Mallet	Timbered Wall {Red} x1 {2853}	Timbered Capital {Red} x1 {2877}	0
298	Used	Giant Mallet	Timbered Wall {Green} x1 {2854}	Timbered Capital {Green} x1 {2878}	0
299	Used	Giant Mallet	Timbered Wall {Yellow} x1 {2855}	Timbered Capital {Yellow} x1 {2879}	0
300	Used	Giant Mallet	Timbered Wall {Blue} x1 {2856}	Timbered Capital {Blue} x1 {2880}	0
301	Used	Giant Mallet	Wooden Wall {White} x1 {2881}	Wooden Wall {White} x1 {2881}	0
302	Used	Giant Mallet	Wooden Wall {Black} x1 {2882}	Wooden Wall {Black} x1 {2882}	0
303	Used	Giant Mallet	Wooden Wall {Purple} x1 {2883}	Wooden Wall {Purple} x1 {2883}	0
304	Used	Giant Mallet	Wooden Wall {Pink} x1 {2884}	Wooden Wall {Pink} x1 {2884}	0
305	Used	Giant Mallet	Wooden Wall {Red} x1 {2885}	Wooden Wall {Red} x1 {2885}	0
306	Used	Giant Mallet	Wooden Wall {Green} x1 {2886}	Wooden Wall {Green} x1 {2886}	0
307	Used	Giant Mallet	Wooden Wall {Yellow} x1 {2887}	Wooden Wall {Yellow} x1 {2887}	0
308	Used	Giant Mallet	Wooden Wall {Blue} x1 {2888}	Wooden Wall {Blue} x1 {2888}	0
309	Used	Giant Mallet	Carpet {White} x1 {2625}	Carpet {White} x1 {2625}	0
310	Used	Giant Mallet	Carpet {Black} x1 {2626}	Carpet {Black} x1 {2626}	0
311	Used	Giant Mallet	Carpet {Purple} x1 {2627}	Carpet {Purple} x1 {2627}	0
312	Used	Giant Mallet	Carpet {Pink} x1 {2628}	Carpet {Pink} x1 {2628}	0
313	Used	Giant Mallet	Carpet {Red} x1 {2629}	Carpet {Red} x1 {2629}	0
314	Used	Giant Mallet	Carpet {Green} x1 {2630}	Carpet {Green} x1 {2630}	0
315	Used	Giant Mallet	Carpet {Yellow} x1 {2631}	Carpet {Yellow} x1 {2631}	0
316	Used	Giant Mallet	Carpet {Blue} x1 {2632}	Carpet {Blue} x1 {2632}	0
317	Used	Giant Mallet	Wooden Floor {White} x1 {2889}	Wooden Floor {White} x1 {2889}	0
