#Id	ImageId	Used	Name	Can be broken by	Normal Drop	Ultimallet Drop	Description
0	0	Used	Empty	Intangible Block	0	0	Set on layer 0 will create sea floor
25	25	Used	Lava	Giant Mallet	Lava x1 {1024}	Lava x1 {1024}	Set near liquid lava will eventually transform into lava
26	26	Used	Vault Wall	Ultimallet	Nothing {-1}	Vault Wall x1 {1025}	0
27	27	Used	Viny Vault Wall	Ultimallet	Nothing {-1}	Viny Vault Wall x1 {1026}	0
28	28	Used	Cracked Vault Wall	Sledgehammer	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
29	29	Used	Mud-Brick Wall	Giant Mallet	Mud-Brick Wall x1 {1028}	Mud-Brick Wall x1 {1028}	0
30	30	Used	Timbered Foundation	Giant Mallet	Timbered Wall x1 {1030}	Timbered Foundation x1 {1029}	0
31	31	Used	Timbered Wall Midsection	Giant Mallet	Timbered Wall x1 {1030}	Timbered Wall Midsection x1 {2285}	0
32	32	Used	Timbered Capital	Giant Mallet	Timbered Wall x1 {1030}	Timbered Capital x1 {1031}	0
33	33	Used	Hardwood Pedestal	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Pedestal x1 {1032}	0
34	34	Used	Hardwood Column Midsection	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Column Midsection x1 {2286}	0
35	35	Used	Hardwood Capital	Giant Mallet	Hardwood Column x1 {1033}	Hardwood Capital x1 {1034}	0
36	36	Used	Stone Foundation	Giant Mallet	Stone Wall x1 {1036}	Stone Foundation x1 {1035}	0
37	37	Used	Stone Wall Midsection	Giant Mallet	Stone Wall x1 {1036}	Stone Wall Midsection x1 {2287}	0
38	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
39	39	Used	Castle Foundation	Giant Mallet	Castle Wall x1 {1039}	Castle Foundation x1 {1038}	0
40	40	Used	Castle Wall Midsection	Giant Mallet	Castle Wall x1 {1039}	Castle Wall Midsection x1 {2288}	0
41	41	Used	Castle Crenellation	Giant Mallet	Castle Wall x1 {1039}	Castle Crenellation x1 {1040}	0
42	42	Used	Castle Battlement	Giant Mallet	Castle Battlement x1 {1041}	Castle Battlement x1 {1041}	0
43	43	Used	Wooden Wall	Giant Mallet	Wooden Wall x1 {1042}	Wooden Wall x1 {1042}	0
44	44	Used	Plumberry Lumber	Giant Mallet	Plumberry Lumber x1 {1043}	Plumberry Lumber x1 {1043}	0
45	45	Used	Flagstone	Giant Mallet	Flagstone x1 {1044}	Flagstone x1 {1044}	0
46	46	Used	Straw Floor	Giant Mallet	Straw Floor x1 {1045}	Straw Floor x1 {1045}	0
47	47	Used	Wooden Floor	Giant Mallet	Wooden Floor x1 {1046}	Wooden Floor x1 {1046}	0
48	48	Used	Hardwood Tile	Giant Mallet	Hardwood Tile x1 {1047}	Hardwood Tile x1 {1047}	0
49	49	Used	Purple Flagstone	Giant Mallet	Purple Flagstone x1 {1048}	Purple Flagstone x1 {1048}	0
50	50	Used	Blue Flagstone	Giant Mallet	Blue Flagstone x1 {1049}	Blue Flagstone x1 {1049}	0
51	51	Used	Carpet Midsection	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	The one without the pattern
52	52	Used	Fancy Carpet	Giant Mallet	Fancy Carpet x1 {1051}	Fancy Carpet x1 {1051}	0
53	53	Used	Castle Tile	Giant Mallet	Castle Tile x1 {1052}	Castle Tile x1 {1052}	0
54	54	Used	Carved Castle Tile	Giant Mallet	Carved Castle Tile x1 {1053}	Carved Castle Tile x1 {1053}	0
55	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
56	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
57	57	Used	Bronze Temple Tile	Ultimallet	Nothing {-1}	Bronze Temple Tile x1 {1056}	0
58	58	Used	Blue Temple Tile	Ultimallet	Nothing {-1}	Blue Temple Tile x1 {1057}	0
59	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
60	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
61	73	Unused	Golemite*	Giant Mallet	Nothing {-1}	Nothing {-1}	Intangible
62	62	Used	Coal Vein	Giant Mallet	Coal x1 {425}	Coal Vein x1 {1061}	0
63	63	Used	Copper Vein	Giant Mallet	Copper x1 {426}	Copper Vein x1 {1162}	0
64	64	Used	Iron Vein	Giant Mallet	Iron x1 {427}	Iron Vein x1 {1063}	0
65	65	Used	Silver Vein	Sledgehammer	Silver x1 {584}	Silver Vein x1 {1064}	0
66	66	Used	Gold Vein	Sledgehammer	Gold x1 {461}	Gold Vein x1 {1065}	0
67	67	Used	Zenithium Vein	Sledgehammer	Zenithium x1 {577}	Zenithium Vein x1 {1066}	0
68	68	Used	Ruby Vein	Sledgehammer	Ruby x1 {578}	Ruby Vein x1 {1067}	0
69	69	Used	Mythril Vein	Sledgehammer	Mythril x1 {521}	Mythril Vein x1 {1068}	0
70	70	Used	Orichalcum Vein	Sledgehammer	Orichalcum x1 {507}	Orichalcum Vein x1 {1069}	0
71	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
72	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
73	73	Used	Golemite	Giant Mallet	Golemite x1 {1072}	Golemite x1 {1072}	0
74	74	Used	Palm Lumber	Giant Mallet	Palm Lumber x1 {1073}	Palm Lumber x1 {1073}	0
75	75	Used	Cedar Lumber	Giant Mallet	Cedar Lumber x1 {1074}	Cedar Lumber x1 {1074}	0
76	76	Used	Time-Honoured Turf	Giant Mallet	Time-Honoured Turf x1 {1075}	Time-Honoured Turf x1 {1075}	0
77	77	Used	8-Bit Brick	Giant Mallet	8-Bit Brick x1 {1076}	8-Bit Brick x1 {1076}	0
78	78	Used	Olde Worlde Wall	Giant Mallet	Olde Worlde Wall x1 {1077}	Olde Worlde Wall x1 {1077}	0
79	79	Used	Eyewall	Giant Mallet	Eyewall x1 {1078}	Eyewall x1 {1078}	0
80	-1	Unused	Dummy Block	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
81	16	Used	Witchgrassy Earth	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
82	82	Used	Lemongrassy Earth	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
83	83	Unused	Sulphur Ore	Giant Mallet	Nothing {-1}	Nothing {-1}	0
84	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
85	85	Used	Strange Sand	Cypress Stick	Strange Sand {1084}	Strange Sand {1084}	0
86	86	Unused	Unused Lava Block	Cypress Stick	Nothing {-1}	Nothing {-1}	0
87	87	Unused	Unused Ice Block	Cypress Stick	Nothing {-1}	Nothing {-1}	0
88	88	Used	Bonestone	Giant Mallet	Bonestone x1 {1087}	Bonestone x1 {1087}	0
89	89	Used	Hargon Block	Giant Mallet	Nothing {-1}	Nothing {-1}	0
90	90	Used	Slimy Block	Giant Mallet	Slimy Block x1 {1087}	Slimy Block x1 {1087}	0
91	91	Used	Retro Roof	Giant Mallet	Retro Roof x1 {1107}	Retro Roof x1 {1107}	0
92	92	Used	Black Block	Giant Mallet	Black Block x1 {1089}	Black Block x1 {1089}	0
93	93	Used	Grey Block	Giant Mallet	Grey Block x1 {1090}	Grey Block x1 {1090}	0
94	94	Used	White Block	Giant Mallet	White Block x1 {1091}	White Block x1 {1091}	0
95	95	Used	Burgundy Block	Giant Mallet	Burgundy Block x1 {1092}	Burgundy Block x1 {1092}	0
96	96	Used	Red Block	Giant Mallet	Red Block x1 {1093}	Red Block x1 {1093}	0
97	97	Used	Purple Block	Giant Mallet	Purple Block x1 {1094}	Purple Block x1 {1094}	0
98	98	Used	Pink Block	Giant Mallet	Pink Block x1 {1095}	Pink Block x1 {1095}	0
99	99	Used	Green Block	Giant Mallet	Green Block x1 {1096}	Green Block x1 {1096}	0
100	100	Used	Lime-Green Block	Giant Mallet	Lime-Green Block x1 {1097}	Lime-Green Block x1 {1097}	0
101	101	Used	Orange Block	Giant Mallet	Orange Block x1 {1098}	Orange Block x1 {1098}	0
102	102	Used	Yellow Block	Giant Mallet	Yellow Block x1 {1099}	Yellow Block x1 {1099}	0
103	103	Used	Navy Block	Giant Mallet	Navy Block x1 {1100}	Navy Block x1 {1100}	0
104	104	Used	Blue Block	Giant Mallet	Blue Block x1 {1101}	Blue Block x1 {1101}	0
105	105	Used	Beige Block	Giant Mallet	Beige Block x1 {1102}	Beige Block x1 {1102}	0
106	106	Used	Cyan Block	Giant Mallet	Cyan Block x1 {1103}	Cyan Block x1 {1103}	0
107	107	Used	Silver Block	Giant Mallet	Silver Block x1 {1104}	Silver Block x1 {1104}	0
108	108	Used	Gold Block	Giant Mallet	Gold Block x1 {1105}	Gold Block x1 {1105}	0
109	109	Used	Fortress Foundation	Sledgehammer	Fortress Wall x1 {1110}	0	0
110	110	Used	Fortress Wall Midsection	Sledgehammer	Fortress Wall x1 {1110}	0	0
111	111	Used	Fortress Battlement	Sledgehammer	Fortress Wall x1 {1110}	0	0
112	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
113	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
114	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
115	21	Used	Clodstone*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
116	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
117	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
118	22	Unused	Crumbly Clodstone	Giant Mallet	Earth x1 {1001}	Crumbly Clodstone x1 {1021}	0
119	5	Used	Tilled Soil	Giant Mallet	Earth x1 {1001}	Earth x1 {1001}	0
120	120	Used	Clear water full block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
121	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
122	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
123	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
124	124	Unused	Witchgrassy Block*	Giant Mallet	Earth x1 {1001}	Witchgrassy Earth x1 {1080}	0
125	125	Unused	Lemongrassy Block*	Giant Mallet	Earth x1 {1001}	Lemongrassy Earth x1 {1081}	0
126	126	Unused	Grassy Block*	Giant Mallet	Earth x1 {1001}	Grassy Earth x1 {1002}	0
127	127	Unused	Limegrassy Block*	Giant Mallet	Earth x1 {1001}	Limegrassy Earth x1 {1003}	0
128	120	Used	Clear water full block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
129	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
130	130	Used	Light Dolomite	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
131	131	Used	Dark Dolomite	Sledgehammer	Dark Dolomite x1 {1749}	Dark Dolomite x1 {1749}	0
132	132	Used	Stony Sand	Giant Mallet	Stony Sand x1 {1751}	Stony Sand x1 {1751}	0
133	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
134	134	Used	Masonry Wall	Ultimallet	Nothing {-1}	Masonry Wall x1 {1761}	0
135	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
136	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
137	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
138	138	Used	Mossy Bark	Giant Mallet	Bark x1 {1753}	Mossy Bark x1 {1754}	0
139	139	Used	Bark	Giant Mallet	Bark x1 {1753}	Bark x1 {1753}	0
140	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
141	141	Used	Stony Soil	Giant Mallet	Stony Soil {1759}	Stony Soil {1759}	0
142	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
143	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
144	120	Used	Clear water surface block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
145	120	Used	Clear water shallow block	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
146	146	Used	Seaside Sand	Cypress Stick	Seaside Sand x1 {1747}	Seaside Sand x1 {1747}	0
147	147	Used	Arid Earth	Giant Mallet	Arid Earth x1 {1760}	Arid Earth x1 {1760}	0
148	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
149	149	Used	Chert	Sledgehammer	Chert x1 {1770}	Chert x1 {1770}	0
150	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
151	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
152	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
153	153	Used	Chunky Chert	Sledgehammer	Chunky Chert x1 {1774}	Chunky Chert x1 {1774}	0
154	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
155	155	Used	Leaves	Cypress Stick	Leaves x1 {1123}	Leaves x1 {1123}	0
156	156	Used	Spoiled Soil	Giant Mallet	Spoiled Soil x1 {1784}	Spoiled Soil x1 {1784}	0
157	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
158	158	Used	Moss	Giant Mallet	Spoiled Soil x1 {1784}	Moss x1 {1786}	0
159	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
160	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
161	161	Used	Humus	Giant Mallet	Humus x1 {1789}	Humus x1 {1789}	0
162	162	Used	Tilled Humus	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
163	10	Used	Obsidian*	Indestructible	Nothing {-1}	Nothing {-1}	0
164	58	Used	Blue Temple Tile*	Indestructible	Nothing {-1}	Nothing {-1}	0
165	149	Used	Chert*	Indestructible	Nothing {-1}	Nothing {-1}	0
166	405	Used	Citadel Battlement*	Indestructible	Nothing {-1}	Nothing {-1}	0
167	407	Used	Golden Citadel Capital*	Indestructible	Nothing {-1}	Nothing {-1}	0
168	408	Used	Alcoved Citadel Wall*	Indestructible	Nothing {-1}	Nothing {-1}	0
169	409	Used	Golden Citadel Foundation*	Indestructible	Nothing {-1}	Nothing {-1}	0
170	607	Used	Sanguine Cinders*	Indestructible	Nothing {-1}	Nothing {-1}	0
171	610	Used	Scales*	Indestructible	Nothing {-1}	Nothing {-1}	0
172	5	Used	Tilled Soil	Giant Mallet	Earth x1 {1001}	Tilled Soil x1 {1004}	0
173	162	Used	Tilled Humus	Giant Mallet	Humus x1 {1789}	Tilled Humus x1 {1790}	0
174	149	Used	Chert	War Hammer	Chert x1 {1770}	Chert x1 {1770}	Is used in the IoA Temple Mountain. The villagers display an empty name when building a blueprint.
175	175	Used	Bubbling Seaside Sand	Cypress Stick	Scallywinkle x1 {1919}	Bubbling Seaside Sand x1 {2037}	0
176	176	Used	Patterned Citadel Wall*	Indestructible	Nothing {-1}	Nothing {-1}	0
177	550	Used	Citadel Capital*	Indestructible	Nothing {-1}	Nothing {-1}	0
178	551	Used	Citadel Foundation*	Indestructible	Nothing {-1}	Nothing {-1}	0
179	552	Used	Castle Wall Midsection*	Indestructible	Nothing {-1}	Nothing {-1}	0
180	553	Used	Citadel Floor*	Indestructible	Nothing {-1}	Nothing {-1}	0
181	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
182	190	Used	Poison shallow block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
183	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
184	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
185	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
186	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
187	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
188	190	Used	Poison surface block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
189	190	Used	Poison full block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
190	190	Used	Poison full block	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
191	199	Used	Bottomless Swamp shallow block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
192	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
193	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
194	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
195	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
196	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
197	199	Used	Bottomless Swamp surface block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
198	199	Used	Bottomless Swamp full block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
199	199	Used	Bottomless Swamp full block	Unscoopable	Nothing {-1}	0	If touched breath gauge depletes immideately. Slows movement down.
200	208	Used	Muddy Water shallow block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
201	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
202	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
203	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
204	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
205	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
206	208	Used	Muddy Water surface block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
207	208	Used	Muddy Water full block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
208	208	Used	Muddy Water full block	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
209	599	Used	Umber	Sledgehammer	Umber x1 {1923}	Umber x1 {1923}	0
210	210	Unused	Umber Sandstone Block*	Sledgehammer	Nothing {-1}	Nothing {-1}	0
211	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
212	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
213	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
214	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
215	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
216	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
217	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
218	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
219	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
220	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
221	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
222	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
223	231	Used	Hot Water shallow block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
224	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
225	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
226	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
227	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
228	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
229	231	Used	Hot Water surface block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
230	231	Used	Hot Water full block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
231	231	Used	Hot Water full block	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
232	232	Used	Mossy Spoiled Soil	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
233	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
234	234	Used	Swampy Soil	Giant Mallet	Spoiled Soil x1 {1784}	Swampy Soil x1 {1951}	0
235	235	Unused	Seeded Spoiled Soil	Giant Mallet	Grass Seed x2 {163}	Seeded Spoiled Soil x1 {1953}	0
236	236	Used	Seeded Spoiled Soil	Giant Mallet	Tomato Seed x2 {1831}	Tomato Seed x2 {1831}	0
237	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
238	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
239	239	Used	Seeded Spoiled Soil	Giant Mallet	Sugar Cane Seedling x2 {1825}	Sugar Cane Seedling x2 {1825}	0
240	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
241	602	Used	Lumpy Umber	Sledgehammer	Lumpy Umber x1 {2031}	Lumpy Umber x1 {2031}	0
242	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
243	243	Used	Softwood	Giant Mallet	Softwood x1 {1987}	Softwood x1 {1987}	0
244	244	Used	Floorboard	Giant Mallet	Floorboard x1 {1988}	Floorboard x1 {1988}	0
245	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
246	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
247	247	Unused	Yellow frame block*	Cypress Stick	Nothing {-1}	Nothing {-1}	Transparent
248	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
240	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
250	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
251	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
252	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
253	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
254	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
255	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
256	158	Used	Moss	Giant Mallet	Spoiled Soil x1 {1784}	Mossy Spoiled Soil x1 {1949}	0
257	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
258	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
259	267	Used	Lava shallow block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
260	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
261	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
262	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
263	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
264	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
265	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
266	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
267	267	Used	Lava surface block	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
268	268	Used	Patterned Vault Wall	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
